"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.AGO.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Angola","Annual","Millions","20.02177","258.959065","335.613557","62.611624","1.816832","0.752908","162.943301","2.520503","2.625648"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.MSR.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Montserrat, United Kingdom-British Overseas Territory","Annual","Millions","","0.47251","","0.1242","0.265927","0.383065","0.29519","0.507436","0.682574"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.TX884.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Europe not specified","Annual","Millions","0.022166","0.020157","","0.021917","0.322122","0.206046","0.839398","0.060635","0.038556"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.JAM.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Jamaica","Annual","Millions","211.883387","257.296847","245.868978","252.662523","169.930155","189.395139","252.067466","326.921558","352.75202"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.TUV.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Tuvalu","Annual","Millions","15.747956","17.301362","20.330715","20.040038","25.884827","41.695612","24.785184","11.256738","0.54388"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.ARE.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","United Arab Emirates","Annual","Millions","7987.828004","7214.646374","7907.135345","7185.283852","5549.945195","7021.068621","8444.345651","10385.252778","12724.986551"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.ATG.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Antigua and Barbuda","Annual","Millions","0.002466","","","0.01229","0.02571","0.015618","0.244256","0.015415","0.016549"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.FRO.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Faroe Islands","Annual","Millions","","","","4.901118","14.238654","8.707643","8.589609","10.084933","8.373568"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.JAM.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Jamaica","Annual","Millions","25.922787","15.677372","14.122148","10.283323","13.430052","9.673382","16.054276","18.314986","20.211402"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.NER.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Niger","Annual","Millions","0.619716","0.330915","0.259926","2.627701","1.056245","2.023276","1.327082","0.771711","16.700885"
